amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha_x,beta_x,sharpe_ratio_x,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,expense_ratio_flag,return_flag,return_rank,expense_rank,sharpe_ratio_y,sharpe_ratio,sharpe_rank,calculated_sharpe_ratio,calculated_max_drawdown,mdd_rank,alpha_y,beta_y,calculated_alpha,calculated_beta,alpha_rank,fund_score
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,Valid,Valid,1.0,0.5,0.7116901743847244,0.7116901743847244,0.7,0.7116901743847244,-0.2870600572176455,0.9,0.3033696538698332,-0.023196062044059704,0.3033696538698332,-0.023196062044059704,1.0,100.0
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,Valid,Valid,0.825,0.65,0.8832556184698852,0.8832556184698852,0.925,0.8832556184698852,-0.18188513572116294,0.625,0.2926358334175106,0.0005490042506317072,0.2926358334175106,0.0005490042506317072,0.95,98.66071428571429
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,20.2,20.08,20.61,19.39,0.69,0.98,0.8,1.23,25.0,-17.01,35124,1.52,4,Very High,Valid,Valid,0.875,0.3625,0.7144216579881003,0.7144216579881003,0.725,0.7144216579881003,-0.31171900300634214,0.925,0.3005787817097677,0.011455159960520695,0.3005787817097677,0.011455159960520695,0.975,93.52678571428571
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,15.43,16.58,17.69,15.63,0.95,0.91,0.87,1.44,19.0,-13.67,23185,1.38,5,High,Valid,Valid,0.775,0.6,0.8082678003905581,0.8082678003905581,0.85,0.8082678003905581,-0.16217208574644848,0.5,0.2719535450128533,0.005103525830528319,0.2719535450128533,0.005103525830528319,0.875,90.47619047619048
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,Valid,Valid,0.75,0.475,0.9655606517440118,0.9655606517440118,0.975,0.9655606517440118,-0.1297396816518679,0.325,0.27330465038306057,-0.02282956979242655,0.27330465038306057,-0.02282956979242655,0.9,89.58333333333334
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,14.88,15.18,18.94,13.76,1.42,1.0,0.8,1.18,19.0,-32.38,28996,1.38,5,High,Valid,Valid,0.65,0.6,0.7305467735561738,0.7305467735561738,0.8,0.7305467735561738,-0.20960883862039192,0.7,0.2607666908004223,-0.0662654286280376,0.2607666908004223,-0.0662654286280376,0.8,85.11904761904762
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,14.12,17.16,19.0,16.14,1.02,0.98,0.9,1.5,19.0,-26.99,37835,1.61,4,High,Valid,Valid,0.8,0.075,0.8328852279505936,0.8328852279505936,0.875,0.8328852279505936,-0.17248105753451382,0.55,0.26598577542043045,-0.0025230046646992775,0.26598577542043045,-0.0025230046646992775,0.825,82.14285714285714
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,Valid,Valid,0.6,0.45,1.068223827231475,1.068223827231475,1.0,1.068223827231475,-0.11265729075028275,0.2,0.2698375144191807,0.023683558075848637,0.2698375144191807,0.023683558075848637,0.85,81.84523809523809
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,Valid,Valid,0.45,0.1125,0.9190465356358306,0.9190465356358306,0.95,0.9190465356358306,-0.1639674294693263,0.525,0.2827036785246582,0.018133884083859235,0.2827036785246582,0.018133884083859235,0.925,74.62797619047619
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,Moderate,Valid,Valid,0.5,0.4125,0.7588510310771464,0.7588510310771464,0.825,0.7588510310771464,-0.17414075086657232,0.575,0.21829397904608644,-0.008353832126962014,0.21829397904608644,-0.008353832126962014,0.75,74.47916666666666
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,Very High,Valid,Valid,0.9,0.3125,0.29234325101099123,0.29234325101099123,0.45,0.29234325101099123,-0.2334488614483311,0.8,0.1750072167561127,0.10349663691337589,0.1750072167561127,0.10349663691337589,0.575,74.33035714285714
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,14.12,14.41,13.02,13.53,0.88,1.03,1.03,1.27,14.0,-26.59,41553,0.8,3,Moderate,Valid,Valid,0.525,0.725,0.7146822636441219,0.7146822636441219,0.75,0.7146822636441219,-0.12588275606922517,0.3,0.2119482701352573,0.016232169761416997,0.2119482701352573,0.016232169761416997,0.7,74.25595238095238
